label,step,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,TV,MI,corr
RF surrogate controller,0,27.04657879295204,27.00517365508771,0.0,1.7536294766491265e-10,7.014517906596502e-09,0.0,4.1939784978239895e-16,0.0
RF surrogate controller,5,27.27841845058633,27.031040336842974,0.0,1.7536294766491265e-10,7.050807134808706e-09,0.0,4.16089385169016e-16,0.0
RF surrogate controller,10,27.508520631358227,27.056903956865362,0.0,1.753629476649125e-10,7.087092214539329e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,15,27.736911703142507,27.082764062413712,0.0,1.753629476649125e-10,7.123372479960754e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,20,27.963617427555683,27.10862028065692,0.0,1.753629476649125e-10,7.159647389928079e-09,0.0,-2.1485035972546025e-16,0.0
RF surrogate controller,25,28.188662978712497,27.134472288353905,0.0,1.753629476649125e-10,7.195916479310086e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,30,28.41207296125416,27.160319795566668,0.0,1.753629476649125e-10,7.232179333289534e-09,0.0,0.0,0.0
RF surrogate controller,35,28.633871427682394,27.186162536183605,0.0,1.7536294766491265e-10,7.2684355726342705e-09,0.0,2.220446049250312e-16,0.0
RF surrogate controller,40,28.854081895031435,27.21200026201405,0.0,1.7536294766491265e-10,7.304684844635113e-09,0.0,2.220446049250312e-16,0.0
RF surrogate controller,45,29.072727360908505,27.23783273889269,0.0,1.7536294766491265e-10,7.3409268171904195e-09,0.0,-2.262301457278681e-16,0.0
RF surrogate controller,50,29.28983031893145,27.26365974398756,0.0,1.7536294766491265e-10,7.377161174753082e-09,0.0,2.220446049250312e-16,0.0
RF surrogate controller,55,29.505412773590916,27.289481063867953,0.0,1.7536294766491265e-10,7.413387615441791e-09,0.0,4.163336342344335e-16,0.0
RF surrogate controller,60,29.719496254562763,27.31529649307372,0.0,1.7536294766491265e-10,7.449605848914412e-09,0.0,4.440892098500624e-16,0.0
RF surrogate controller,65,29.932101830495323,27.34110583302826,0.0,1.7536294766491265e-10,7.485815594759782e-09,0.0,2.220446049250312e-16,0.0
RF surrogate controller,70,30.14325012229455,27.366908891194193,0.0,1.7536294766491265e-10,7.522016581253855e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,75,30.352961315929146,27.392705480405393,0.0,1.7536294766491265e-10,7.558208544378957e-09,0.0,2.2204460492503126e-16,0.0
RF surrogate controller,80,30.561255174776488,27.41849541832984,0.0,1.7536294766491265e-10,7.594391227037577e-09,0.0,2.220446049250312e-16,0.0
RF surrogate controller,85,30.768151051529202,27.444278527031543,0.0,1.753629476649125e-10,7.63056437841287e-09,0.0,4.440892098500624e-16,0.0
RF surrogate controller,90,30.973667899681068,27.47005463260876,0.0,1.7536294766491265e-10,7.66672775344184e-09,0.0,4.2279513223775204e-16,0.0
RF surrogate controller,95,31.1778242846103,27.495823564891854,0.0,1.7536294766491265e-10,7.702881112376263e-09,0.0,4.228617456192295e-16,0.0
RF surrogate controller,100,31.380638394276982,27.521585157188408,0.0,1.7536294766491265e-10,7.73902422041299e-09,0.0,4.2272851885627444e-16,0.0
RF surrogate controller,105,31.582128049550963,27.547339246066088,0.0,1.7536294766491265e-10,7.775156847379682e-09,0.0,-2.1964652319184096e-16,0.0
RF surrogate controller,110,31.782310714185424,27.57308567116627,0.0,1.7536294766491265e-10,7.811278767465371e-09,0.0,0.0,0.0
RF surrogate controller,115,31.981203504450786,27.598824275042606,0.0,1.7536294766491265e-10,7.847389758987526e-09,0.0,2.2204460492503126e-16,0.0
RF surrogate controller,120,32.17882319844286,27.624554903020297,0.0,1.7536294766491265e-10,7.88348960418925e-09,0.0,0.0,0.0
RF surrogate controller,125,32.37518624507849,27.650277403072444,0.0,1.7536294766491265e-10,7.919578089061372e-09,0.0,2.2204460492503126e-16,0.0
RF surrogate controller,130,32.57030877279109,27.67599162571082,0.0,1.7536294766491265e-10,7.95565500318544e-09,0.0,2.2204460492503126e-16,0.0
RF surrogate controller,135,32.76420659793853,27.701697423888675,0.0,1.7536294766491265e-10,7.991720139594176e-09,0.0,0.0,0.0
RF surrogate controller,140,32.956895232934265,27.72739465291373,0.0,1.7536294766491265e-10,8.02777329464681e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,145,33.14838989411308,27.753083170369994,0.0,1.753629476649125e-10,8.063814267917e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,150,33.3387055093416,27.778762836046923,0.0,1.7536294766491265e-10,8.099842862091572e-09,0.0,0.0,0.0
RF surrogate controller,155,33.52785672538357,27.804433511875075,0.0,1.7536294766491265e-10,8.135858882878479e-09,0.0,2.2204460492503126e-16,0.0
RF surrogate controller,160,33.71585791502944,27.830095061867247,0.0,1.7536294766491265e-10,8.171862138922831e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,165,33.902723183999186,27.855747352064505,0.0,1.7536294766491265e-10,8.20785244172983e-09,0.0,4.189759650330414e-16,0.0
RF surrogate controller,170,34.08846637762723,27.881390250486334,0.0,1.7536294766491265e-10,8.243829605593754e-09,0.0,6.174394329150343e-16,0.0
RF surrogate controller,175,34.2731010873373,27.90702362708446,0.0,1.7536294766491265e-10,8.279793447532237e-09,0.0,4.0731862327447724e-16,0.0
RF surrogate controller,180,34.456640656915695,27.932647353699977,0.0,1.753629476649125e-10,8.315743787225189e-09,0.0,2.2204460492503126e-16,0.0
RF surrogate controller,185,34.639098188589976,27.958261304023228,0.0,1.753629476649125e-10,8.35168044695779e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,190,34.82048654892059,27.983865353556194,0.0,1.7536294766491265e-10,8.387603251567081e-09,0.0,4.2044145942554663e-16,0.0
RF surrogate controller,195,35.00081837451224,28.009459379577184,0.0,1.753629476649125e-10,8.423512028391788e-09,0.0,4.2039705050456157e-16,0.0
RF surrogate controller,200,35.180106077551564,28.035043261107447,0.0,1.753629476649125e-10,8.459406607224985e-09,0.0,4.2050807280702413e-16,0.0
RF surrogate controller,205,35.358361851177555,28.060616878879582,0.0,1.753629476649125e-10,8.495286820269255e-09,0.0,4.2170711367361926e-16,0.0
RF surrogate controller,210,35.53559767469058,28.086180115307506,0.0,1.753629476649125e-10,8.531152502094194e-09,0.0,4.217515225946043e-16,0.0
RF surrogate controller,215,35.711825318605975,28.111732854457898,0.0,1.7536294766491265e-10,8.56700348959591e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,220,35.887056349557696,28.13727498202285,0.0,1.7536294766491265e-10,8.602839621958369e-09,0.0,2.220446049250312e-16,0.0
RF surrogate controller,225,36.06130213505722,28.162806385293802,0.0,1.7536294766491265e-10,8.638660740616424e-09,0.0,0.0,0.0
RF surrogate controller,230,36.23457384811302,28.18832695313638,0.0,1.7536294766491265e-10,8.674466689220336e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,235,36.40688247171529,28.21383657596633,0.0,1.7536294766491265e-10,8.710257313601674e-09,0.0,4.213296378452467e-16,0.0
RF surrogate controller,240,36.57823880319076,28.23933514572622,0.0,1.7536294766491265e-10,8.746032461740441e-09,0.0,2.2204460492503126e-16,0.0
RF surrogate controller,245,36.748653458431896,28.264822555863038,0.0,1.7536294766491265e-10,8.781791983733386e-09,0.0,4.209743664773667e-16,0.0
RF surrogate controller,250,36.918136876005114,28.29029870130642,0.0,1.7536294766491265e-10,8.817535731763316e-09,0.0,2.2204460492503126e-16,0.0
RF surrogate controller,255,37.08669932114178,28.315763478447664,0.0,1.7536294766491265e-10,8.853263560069414e-09,0.0,4.0214498397972404e-16,0.0
RF surrogate controller,260,37.25435088961626,28.341216785119276,0.0,1.753629476649125e-10,8.888975324918399e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,265,37.421101511514706,28.366658520575136,0.0,1.7536294766491265e-10,8.924670884576572e-09,0.0,2.2204460492503123e-16,0.0
RF surrogate controller,270,37.586960954898245,28.392088585471186,0.0,1.7536294766491265e-10,8.960350099282546e-09,0.0,2.2204460492503126e-16,0.0
RF surrogate controller,275,37.75193882936415,28.417506881846673,0.0,1.7536294766491265e-10,8.996012831220762e-09,0.0,0.0,0.0
RF surrogate controller,280,37.91604458950837,28.442913313105738,0.0,1.7536294766491265e-10,9.031658944495612e-09,0.0,0.0,0.0
RF surrogate controller,285,38.07928753779898,28.468307783999247,0.0,1.7814137714076777e-10,9.423356290151995e-09,9.634335614040522e-12,0.001190478097020547,0.058931022482388816
RF surrogate controller,290,38.24167682723048,28.493690200607823,0.0,1.7852443045887093e-10,9.512347715197266e-09,1.0546726333571019e-11,0.0017916267617159164,0.06522066853437394
RF surrogate controller,295,38.40322147299816,28.519060470324394,0.0,1.8162076862840784e-10,9.950174081281479e-09,1.9933217712118305e-11,0.004239698212093054,0.09405039615875946
RF surrogate controller,300,38.56393033636341,28.544418501836482,0.0,1.9138619660034952e-10,1.1268105892144983e-08,5.473524305867008e-11,0.0046498426012860855,0.11535106175417133
RF surrogate controller,305,38.723812148001706,28.56976420511069,0.0,1.8921931187048555e-10,1.1032009291155656e-08,4.553109699156096e-11,0.0042396982120932285,0.12080492066629149
RF surrogate controller,310,38.88287549897301,28.59509749137869,0.0,1.9657171228147742e-10,1.2044585687166359e-08,5.983415580394251e-11,0.006699125947686811,0.1362713114398027
RF surrogate controller,315,39.04112885065266,28.620418273120997,0.0,2.032687911999165e-10,1.29419198187302e-08,7.744794621033111e-11,0.00782007663881011,0.15596811687263565
RF surrogate controller,320,39.19858052551873,28.645726464046103,0.0,2.1404561269743085e-10,1.4491472412734722e-08,1.1332942160329927e-10,0.010892087242651307,0.1591285328954517
RF surrogate controller,325,39.3552387345024,28.671021979082877,0.0,2.0560724923593795e-10,1.3376352132886339e-08,7.939413007860761e-11,0.010197161738254952,0.16129854051226283
RF surrogate controller,330,39.51111154301163,28.696304734360904,0.0,2.1174551747978151e-10,1.435259404920141e-08,7.734230791571862e-11,0.00793679202136112,0.15012560130188085
RF surrogate controller,335,39.66620691394337,28.72157464719321,0.0,2.1450865350032713e-10,1.468559712349621e-08,1.0796268814115344e-10,0.011597239767099959,0.16368132033279237
RF surrogate controller,340,39.820532673056334,28.746831636077545,0.0,2.1468346085976526e-10,1.476885366947188e-08,1.0672957269971049e-10,0.012523075126581238,0.1739421378038299
RF surrogate controller,345,39.97409653649846,28.77207562065041,0.0,2.146102216949535e-10,1.4834253209960476e-08,1.0960786865965501e-10,0.01459362418658329,0.19582454947388975
RF surrogate controller,350,40.126906099865245,28.797306521709718,0.0,2.394314546755187e-10,1.8276922738101927e-08,1.5149618053878578e-10,0.015262525930784657,0.20439686393696377
RF surrogate controller,355,40.27896886015111,28.822524261169217,0.0,2.605719938966261e-10,2.1324966759899406e-08,2.152125533799211e-10,0.024331301926805313,0.2348276651246416
RF surrogate controller,360,40.43029218090135,28.84772876207641,0.0,2.381013601314059e-10,1.8351733497561016e-08,1.7465154798087982e-10,0.017492069045685243,0.2077129775546059
RF surrogate controller,365,40.58088328242736,28.872919948542723,0.0,6.071583741106993e-10,7.262420814548032e-08,1.1033093346471417e-09,0.006768151604590405,0.12138766558067796
RF surrogate controller,370,40.7307493713144,28.89809774581118,0.0,3.319334165643414e-10,2.8647345426532628e-08,4.622059949294153e-10,0.013811600200136059,0.1404266948333696
RF surrogate controller,375,40.87989735629261,28.923262079926168,0.0,1.2365298577548567e-09,1.6752310967326986e-07,1.8434347211710872e-09,0.01075995836761193,0.1720569829657026
RF surrogate controller,380,41.02833441357968,28.948412878376757,0.0,1.803510315705932e-09,2.527056436509227e-07,2.159018003641739e-09,0.022347516199021766,0.21975406951302148
RF surrogate controller,385,41.17606730282414,28.97355006966413,0.0,1.6681592003120633e-09,2.343921190714428e-07,1.9238143366257265e-09,0.021583191147467318,0.21717286758461152
RF surrogate controller,390,41.323102862833046,28.99867358316051,0.0,2.209155627861453e-09,3.1612232513479033e-07,2.6124803535509906e-09,0.022305212103646783,0.24134609120414055
RF surrogate controller,395,41.469447803420046,29.02378334939838,0.0,2.8895837108620116e-09,4.139820795104919e-07,4.429842352653735e-09,0.030506356845816273,0.2686576646440409
RF surrogate controller,400,41.61510857827219,29.048879300015955,0.0,2.715219386026935e-09,3.94792078621301e-07,3.6249160331773317e-09,0.027708678268701187,0.2590071599033669
RF surrogate controller,405,41.76009170928066,29.07396136737317,0.0,2.836906189827581e-09,4.114542811423389e-07,3.907394010178738e-09,0.037699607874632016,0.28348838844131047
RF surrogate controller,410,41.90440353468555,29.09902948415582,0.0,3.3265452393076702e-09,4.838642306683617e-07,5.058038044792684e-09,0.03852625016250842,0.291674088327004
RF surrogate controller,415,42.0480503483323,29.124083577728683,0.0,3.3752303345482e-09,4.917585970519155e-07,5.235362263154679e-09,0.03579719789632448,0.28701714544262
RF surrogate controller,420,42.191038356902645,29.149123600872723,0.0,3.2405251852153835e-09,4.75546388266031e-07,4.9228275931407836e-09,0.03625463830735927,0.2865622720605264
RF surrogate controller,425,42.3333736675394,29.174149480920285,0.0,3.347893509410667e-09,4.936662369058975e-07,5.2790004022304485e-09,0.037244792617959856,0.2883004591513406
RF surrogate controller,430,42.47506145747968,29.199161154682248,0.0,3.4853967562557976e-09,5.110371876601801e-07,6.244146281881989e-09,0.038099486711672056,0.2952543343078171
RF surrogate controller,435,42.616109507719955,29.224158560400706,0.0,6.922044843744037e-09,1.0800127532874284e-06,1.6922332572157006e-08,0.015211869423842585,0.15174000169829374
RF surrogate controller,440,42.75652242494204,29.249141637514402,0.0,7.17764412930873e-09,1.1095725533495978e-06,1.8065282040642673e-08,0.016955385747480282,0.1681228214492046
RF surrogate controller,445,42.896306205536476,29.274110325423976,0.0,7.0261804690914484e-09,1.074463979277256e-06,1.4509255579034637e-08,0.025006670207609286,0.21890377116877008
RF surrogate controller,450,43.035466640718305,29.299064566361498,0.0,1.0110603587332397e-08,1.5969821588585092e-06,2.360612982150214e-08,0.023664087322979872,0.18171529798416106
RF surrogate controller,455,43.17400944633048,29.324004301506427,0.0,8.129684608423132e-09,1.2877849550912137e-06,1.884725863735057e-08,0.01582095325571991,0.16320287495128033
RF surrogate controller,460,43.311940015709666,29.34892946650891,0.0,1.0735766494685738e-08,1.7273182717733278e-06,3.043870962441918e-08,0.018731586490631353,0.15850303811312508
RF surrogate controller,465,43.4492638426219,29.37384001940671,0.0,1.0626992284676324e-08,1.7010293448671811e-06,2.5496632674470338e-08,0.019291920852622296,0.17569753624853762
RF surrogate controller,470,43.58598639055992,29.398735898018455,0.0,1.392721226903114e-08,2.226774149224529e-06,2.7230073111606537e-08,0.029262420711883605,0.2013852209424178
RF surrogate controller,475,43.72211305008449,29.423617046583143,0.0,2.583424525607681e-08,3.6892349016759772e-06,7.072827693500079e-08,0.0039820083003086065,0.08978769686791271
RF surrogate controller,480,43.85764836355612,29.448483410278392,0.0,2.5385750112174704e-08,3.847513937685753e-06,5.2058763038203373e-08,0.041091236619066995,0.21998845679248344
RF surrogate controller,485,43.992597914978276,29.473334939297878,0.0,2.0727130074107322e-08,3.4057875182539687e-06,3.1769154620935244e-08,0.04629026476199455,0.29204500163647923
RF surrogate controller,490,44.126967373535585,29.498171576301033,0.0,2.935440852158492e-08,4.589094954644788e-06,5.4756599160508336e-08,0.052896944629412364,0.28447124868630724
RF surrogate controller,495,44.260761425913095,29.5229932700234,0.0,3.137568954355704e-08,5.2057569464431385e-06,4.632010453566988e-08,0.05348198003347652,0.3212905425119336
RF surrogate controller,500,44.393984651150625,29.547799977226298,0.0,3.887948798458395e-08,6.3793674716847505e-06,5.8582221128726346e-08,0.05433472645143572,0.33224762775629596
RF surrogate controller,505,44.52664258615101,29.572591642288845,0.0,3.4492797956098625e-08,5.853200704817122e-06,5.156807471759953e-08,0.05421947184531978,0.3083579554533228
RF surrogate controller,510,44.65873963436099,29.59736822037379,0.0,3.486996927200878e-08,5.827094668694039e-06,4.9576540606949386e-08,0.0650160004529174,0.3624098875718866
RF surrogate controller,515,44.79028208878003,29.62212965490073,0.0,5.216963068852855e-08,8.748253261713352e-06,6.638660882818275e-08,0.06789883239704829,0.3663608182481799
RF surrogate controller,520,44.92127368625218,29.646875902908448,0.0,4.373006651829869e-08,7.393024366219639e-06,6.632863250923017e-08,0.059339542329934235,0.3297181851746973
RF surrogate controller,525,45.0516933104362,29.671606910588352,0.0003,1.1574170002011142e-07,1.7381907576605173e-05,2.772426939689507e-07,0.008024170996514337,0.1228766657484129
RF surrogate controller,530,45.18156793113085,29.696322629478736,0.0008,9.923781612881796e-08,1.761342644950268e-05,1.5993116118020335e-07,0.02021898854234451,0.18253075253453244
RF surrogate controller,535,45.310900172616996,29.721023015382922,0.0012,1.330719698245701e-07,2.1756767369658962e-05,2.843805270784529e-07,0.006564502520097359,0.13171154628570736
RF surrogate controller,540,45.43964067153148,29.74570785421034,0.0017,4.05750200833031e-07,7.44956560613151e-05,7.317888376546292e-07,0.009986979263203842,0.16303270526548325
RF surrogate controller,545,45.56781808751013,29.770377330867003,0.0023,2.336672463069085e-07,3.3388572169910605e-05,4.073556553527239e-07,0.00893283071701912,0.12023214419221145
RF surrogate controller,550,45.6954441558337,29.79503114769641,0.0027,9.940687738765703e-07,0.00018461499994761526,1.3474329949565177e-06,0.02198595927497781,0.22003803472387043
RF surrogate controller,555,45.822548881325865,29.81966939490481,0.0031,7.201695730066086e-07,0.00013430070132529218,9.184711582700781e-07,0.019704259232913596,0.22159783783391437
RF surrogate controller,560,45.94908519316036,29.844292013213607,0.0035,1.316896235080145e-06,0.00024191968490738414,1.7715274657069908e-06,0.025015792268258074,0.23899768840625135
RF surrogate controller,565,46.07501291536282,29.868898882720462,0.004,1.3732860773341999e-06,0.0002538798042100846,1.9356065068076076e-06,0.026881565112608273,0.2467049912118118
RF surrogate controller,570,46.20035285582823,29.89348973050965,0.0045,3.002298780226797e-06,0.0005705161760443576,3.208660078154395e-06,0.02976557379274524,0.23291292530608512
RF surrogate controller,575,46.32505480708969,29.91806474992398,0.0049,1.8588899211570815e-06,0.0003543048905192585,2.093858522562942e-06,0.02886644984854375,0.22914400127136492
RF surrogate controller,580,46.44920124282162,29.942623518324872,0.0053,3.392673796398077e-06,0.0006503440446257431,3.4754153033763396e-06,0.030089152971398407,0.24114192288260783
RF surrogate controller,585,46.5728745692702,29.967166463479714,0.006,3.1610719536714743e-06,0.0006081770467806025,3.286229193756302e-06,0.03122136046400925,0.2384549165472147
RF surrogate controller,590,46.69591831773862,29.991692817572858,0.0063,5.052374522371871e-06,0.0009739705678623621,4.837513981305152e-06,0.03825674442807975,0.2619837734208072
RF surrogate controller,595,46.81818180306216,30.016202518669104,0.0065,6.4961198138925315e-06,0.001250468359617592,6.217522924256693e-06,0.03686868546917902,0.260491234564931
RF surrogate controller,600,46.939676069027996,30.04069552431106,0.0072,7.3404778171432466e-06,0.0014269956897652017,6.2740191569438e-06,0.04592850443744936,0.2823802970527709
RF surrogate controller,605,47.06069595150355,30.065172403796193,0.0075,8.279565504761487e-06,0.001617941681685378,7.712711183519881e-06,0.04061697069319626,0.2747614831349914
RF surrogate controller,610,47.1805213729833,30.089631168255895,0.0079,8.81789088540353e-06,0.0017337545310305309,8.509000934991463e-06,0.03835045644177871,0.2628485367709358
RF surrogate controller,615,47.30015643352998,30.114074046447293,0.0083,1.1497173831548162e-05,0.002267855200318955,1.026634026179817e-05,0.0379876195957406,0.26324330353477626
RF surrogate controller,620,47.41883378250144,30.138497577110527,0.009,2.217195606971289e-05,0.004393040553284601,1.7565508371684876e-05,0.042776044972962626,0.28754808304357055
